"Operation Index","Operation Name","Latency","Priority"
0,"u3 (52C7FA)","00:00:00.0010000","18"
1,"barrier (2E907D2)","00:00:00.0010000","17"
2,"u3 (2314666)","00:00:00.0010000","16"
3,"cx (3BB7996)","00:00:00.0020000","15"
4,"u3 (197464D)","00:00:00.0010000","13"
5,"barrier (25178BB)","00:00:00.0010000","12"
6,"u3 (DD3E99)","00:00:00.0010000","11"
7,"u3 (3C73369)","00:00:00.0010000","11"
8,"cx (200CEB2)","00:00:00.0020000","10"
9,"u3 (2074447)","00:00:00.0010000","8"
10,"barrier (241667F)","00:00:00.0010000","7"
11,"u3 (4C9A7D)","00:00:00.0010000","6"
12,"u3 (2B16E69)","00:00:00.0010000","6"
13,"u3 (3CE1B4)","00:00:00.0010000","5"
14,"barrier (223EF57)","00:00:00.0010000","4"
15,"measurement (3436A13)","00:00:00.0030000","3"
