"Operation Index","Operation Name","Latency","Priority"
0,"u3 (F8E161)","00:00:00.0010000","15"
1,"u3 (BFEC6C)","00:00:00.0010000","17"
2,"cx (2BF4FCE)","00:00:00.0020000","16"
3,"barrier (B9CE40)","00:00:00.0010000","14"
4,"cx (2884043)","00:00:00.0020000","13"
5,"u3 (2CA4261)","00:00:00.0010000","11"
6,"measurement (11C5569)","00:00:00.0030000","10"
7,"measurement (1FF00B6)","00:00:00.0030000","8"
8,"if 1 then u3 (1F70667)","00:00:00.0020000","7"
9,"if 1 then u3 (1AF39A7)","00:00:00.0020000","5"
10,"measurement (32906E6)","00:00:00.0030000","3"
