"Operation Index","Operation Name","Latency","Priority"
0,"u3 (24E6F0B)","00:00:00.0010000","14"
1,"u3 (C1E768)","00:00:00.0010000","10"
2,"cx (2D122AC)","00:00:00.0020000","13"
3,"u3 (15A3810)","00:00:00.0010000","11"
4,"u3 (2BF895)","00:00:00.0010000","10"
5,"cx (18BBD45)","00:00:00.0020000","9"
6,"u3 (1E9A76F)","00:00:00.0010000","7"
7,"u3 (136E2EE)","00:00:00.0010000","6"
8,"u3 (2EDFA62)","00:00:00.0010000","6"
9,"cx (25DCD74)","00:00:00.0020000","5"
10,"measurement (14C3915)","00:00:00.0030000","3"
11,"measurement (3AE01BE)","00:00:00.0030000","3"
12,"measurement (11E0FB0)","00:00:00.0030000","3"
