Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
1.0,00:00:00.1194129,N/A,00:00:00.0084154,00:00:00.0112235,00:00:00.0104962,00:00:00.0101934,00:00:00.0247523,00:00:00.0197240,00:00:00.0105915,00:00:00.0166827
1.1,00:00:00.3718391,N/A,00:00:00.0135614,00:00:00.0101960,00:00:00.0110002,00:00:00.0179231,00:00:00.0102402,00:00:00.0067097,00:00:00.0065047,00:00:00.0061552
1.2,00:00:00.3191059,N/A,00:00:00.0122175,00:00:00.0069853,00:00:00.0071406,00:00:00.0082138,00:00:00.0072701,00:00:00.0054402,00:00:00.0045470,00:00:00.0049547
1.3,00:00:00.2996179,N/A,00:00:00.0118289,00:00:00.0050737,00:00:00.0060296,00:00:00.0070828,00:00:00.0054717,00:00:00.0048775,00:00:00.0053113,00:00:00.0061590
1.4,00:00:00.3071987,N/A,00:00:00.0074306,00:00:00.0065848,00:00:00.0070259,00:00:00.0060182,00:00:00.0062016,00:00:00.0058235,00:00:00.0069135,00:00:00.0042978
1.5,00:00:00.3180731,N/A,00:00:00.0147258,00:00:00.0095189,00:00:00.0054431,00:00:00.0056710,00:00:00.0045766,00:00:00.0059414,00:00:00.0043679,00:00:00.0051049
1.6,00:00:00.0187574,N/A,00:00:00.0047212,00:00:00.0069826,00:00:00.0045499,00:00:00.0039592,00:00:00.0042724,00:00:00.0037614,00:00:00.0040104,00:00:00.0037057
1.7,00:00:00.3578395,N/A,00:00:00.0192910,00:00:00.0071828,00:00:00.0064453,00:00:00.0056519,00:00:00.0160070,00:00:00.0100990,00:00:00.0107766,00:00:00.0104252
1.8,00:00:00.3081554,N/A,00:00:00.0060098,00:00:00.0062321,00:00:00.0057942,00:00:00.0073348,00:00:00.0106732,00:00:00.0104514,00:00:00.0057762,00:00:00.0194773
1.9,00:00:00.0071947,N/A,00:00:00.0128451,00:00:00.0060801,00:00:00.0047894,00:00:00.0046522,00:00:00.0040649,00:00:00.0042542,00:00:00.0034668,00:00:00.0052653
1.10,00:00:00.0066974,N/A,00:00:00.0478267,00:00:00.0082345,00:00:00.0063655,00:00:00.0070437,00:00:00.0089349,00:00:00.0063589,00:00:00.0047832,00:00:00.0048442
1.11,00:00:00.0049507,N/A,00:00:00.0441760,00:00:00.0049826,00:00:00.0041817,00:00:00.0051334,00:00:00.0040696,00:00:00.0042474,00:00:00.0046631,00:00:00.0047919
1.12,00:00:00.0155713,N/A,00:00:00.0077692,00:00:00.0070386,00:00:00.0062025,00:00:00.0059692,00:00:00.0063926,00:00:00.0070668,00:00:00.0050233,00:00:00.0051815
1.13,00:00:00.0096657,N/A,00:00:00.0387933,00:00:00.0096823,00:00:00.0090206,00:00:00.0082024,00:00:00.0103506,00:00:00.0078215,00:00:00.0182904,00:00:00.0083046
1.19,00:00:00.0069799,N/A,00:00:00.0058154,00:00:00.0078797,00:00:00.0090838,00:00:00.0074572,00:00:00.0076403,00:00:00.0100374,00:00:00.0073964,00:00:00.0075652
1.21,00:00:00.3292594,N/A,00:00:00.0051243,00:00:00.0038837,00:00:00.0057085,00:00:00.0042489,00:00:00.0048615,00:00:00.0038920,00:00:00.0049355,00:00:00.0039842
1.22,00:00:00.3098440,N/A,00:00:00.0072970,00:00:00.0126205,00:00:00.0070226,00:00:00.0227621,00:00:00.0097103,00:00:00.0109563,00:00:00.0115104,00:00:00.0062845
1.23,00:00:00.3160286,N/A,00:00:00.0219061,00:00:00.0101683,00:00:00.0107996,00:00:00.0108563,00:00:00.0088109,00:00:00.0049423,00:00:00.0055723,00:00:00.0046479
1.25,00:00:00.2827836,N/A,00:00:00.0062437,00:00:00.0074059,00:00:00.0076596,00:00:00.0061435,00:00:00.0067061,00:00:00.0052176,00:00:00.0069345,00:00:00.0070339
1.27,00:00:00.0178591,N/A,00:00:00.0077247,00:00:00.0076362,00:00:00.0061638,00:00:00.0063514,00:00:00.0077366,00:00:00.0068593,00:00:00.0084483,00:00:00.0063991
1.28,00:00:00.0058562,N/A,00:00:00.0345237,00:00:00.0105092,00:00:00.0106895,00:00:00.0054124,00:00:00.0051298,00:00:00.0047753,00:00:00.0046229,00:00:00.0047213
1.32,00:00:00.3055479,00:00:00.0134133,00:00:00.0062819,00:00:00.0152984,00:00:00.0067547,00:00:00.0160523,00:00:00.0084150,00:00:00.0090883,00:00:00.0100633,00:00:00.0101327
1.33,00:00:00.3005972,N/A,00:00:00.0186201,00:00:00.0110522,00:00:00.0123435,00:00:00.0068609,00:00:00.0049238,00:00:00.0050340,00:00:00.0110214,00:00:00.0203335
1.34,00:00:00.2941743,N/A,00:00:00.0154074,00:00:00.0086136,00:00:00.0153428,00:00:00.0065311,00:00:00.0061423,00:00:00.0244438,00:00:00.0157341,00:00:00.0058613
1.35,00:00:00.0058714,N/A,00:00:00.0373840,00:00:00.0101309,00:00:00.0114757,00:00:00.0051765,00:00:00.0053419,00:00:00.0089698,00:00:00.0064716,00:00:00.0039286
1.36,00:00:00.0067678,N/A,00:00:00.0411020,00:00:00.0187235,00:00:00.0136198,00:00:00.0125321,00:00:00.0086910,00:00:00.0087050,00:00:00.0056923,00:00:00.0249263
1.37,00:00:00.0096467,N/A,00:00:00.0435267,00:00:00.0070967,00:00:00.0147667,00:00:00.0102062,00:00:00.0064944,00:00:00.0046624,00:00:00.0045851,00:00:00.0063654
