Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,6.000000000000007E-07,6.000000000000007E-07,6.000000000000007E-07,0,6.000000000000007E-07,6.000000000000007E-07,6.000000000000007E-07,6.000000000000007E-07,0,
1.1,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,
1.2,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,
1.3,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,
1.4,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,
1.5,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,
1.6,0,0,0,0,0,0,0,0,0,
1.7,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,
1.8,0,0,0,0,0,0,0,0,0,
1.9,-0.001996999999999999,-0.0019987999999999968,-0.0019987999999999968,-0.0020005999999999978,-0.0019987999999999968,-0.0019987999999999968,-0.001996999999999999,-0.0019987999999999968,-0.0019987999999999968,
1.10,-0.0019993000000000025,-0.0019993000000000025,-0.0019993000000000025,-0.0020004999999999966,-0.0019993000000000025,-0.0019993000000000025,-0.0019993000000000025,-0.0019993000000000025,-0.0020004999999999966,
1.11,-0.0029978999999999982,-0.0029972999999999996,-0.0029972999999999996,-0.0030003000000000057,-0.0029972999999999996,-0.0029972999999999996,-0.0029978999999999982,-0.0029972999999999996,-0.002999099999999999,
1.12,6.99999999999999E-07,6.99999999999999E-07,6.99999999999999E-07,-4.99999999999999E-07,6.99999999999999E-07,6.99999999999999E-07,6.99999999999999E-07,6.99999999999999E-07,-4.99999999999999E-07,
1.13,2.0999999999999973E-06,2.0999999999999973E-06,2.0999999999999973E-06,-1.5000000000000005E-06,2.0999999999999973E-06,2.0999999999999973E-06,2.0999999999999973E-06,2.0999999999999973E-06,3.0000000000000036E-07,
1.14,1.6000000000000018E-06,2.1999999999999997E-06,2.1999999999999997E-06,-3.2000000000000037E-06,2.1999999999999997E-06,2.1999999999999997E-06,1.6000000000000018E-06,2.1999999999999997E-06,-2.0000000000000023E-07,
1.15,2.1999999999999997E-06,2.1999999999999997E-06,2.1999999999999997E-06,-1.999999999999996E-06,2.1999999999999997E-06,2.1999999999999997E-06,2.1999999999999997E-06,2.1999999999999997E-06,-1.999999999999996E-06,
1.16,-0.003998500000000003,-0.0039978999999999995,-0.0039978999999999995,-0.004000899999999991,-0.0039978999999999995,-0.0039978999999999995,-0.003998500000000003,-0.0039978999999999995,-0.004000899999999991,
1.17,-0.0019899999999999983,-0.0019899999999999983,-0.0019899999999999983,-0.0020038,-0.0019899999999999983,-0.0019899999999999983,-0.0019899999999999983,-0.0019899999999999983,-0.0020038,
1.18,,,,-0.004002999999999995,,,,,,
1.19,-0.0009995000000000002,-0.0009995000000000002,-0.0009995000000000002,-0.0010006999999999976,-0.0009995000000000002,-0.0009995000000000002,-0.0009995000000000002,-0.0009995000000000002,-0.0010006999999999976,
1.20,,,,-0.008009700000000007,,,,,,
1.21,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,
1.22,0,0,0,0,0,0,0,0,0,
1.23,0,0,0,0,0,0,0,0,0,
1.24,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,-4.0000000000000046E-07,
1.25,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,-0.0010002000000000023,
1.26,-0.002995999999999999,-0.0029971999999999993,-0.0029971999999999993,-0.003001399999999993,-0.0029971999999999993,-0.0029971999999999993,-0.002995999999999999,-0.0029971999999999993,-0.0029989999999999965,
1.27,5.400000000000011E-06,3.5999999999999964E-06,3.5999999999999964E-06,0,3.5999999999999964E-06,3.5999999999999964E-06,5.400000000000011E-06,3.5999999999999964E-06,1.7999999999999982E-06,
1.28,1.0999999999999998E-06,1.0999999999999998E-06,1.0999999999999998E-06,-1.0000000000000011E-07,1.0999999999999998E-06,1.0999999999999998E-06,1.0999999999999998E-06,1.0999999999999998E-06,-1.0000000000000011E-07,
1.29,3.1000000000000012E-06,1.3000000000000017E-06,1.3000000000000017E-06,-4.099999999999995E-06,1.3000000000000017E-06,1.3000000000000017E-06,3.1000000000000012E-06,1.3000000000000017E-06,-4.99999999999999E-07,
1.30,-2.500000000000005E-06,-1.0000000000000011E-07,-1.0000000000000011E-07,-6.7E-06,-1.0000000000000011E-07,-1.0000000000000011E-07,-2.500000000000005E-06,-1.0000000000000011E-07,-6.7E-06,
1.31,1.399999999999998E-06,1.999999999999996E-06,1.999999999999996E-06,-1.6000000000000018E-06,1.999999999999996E-06,1.999999999999996E-06,1.399999999999998E-06,1.999999999999996E-06,2.0000000000000023E-07,
1.32,0,0,0,0,0,0,0,0,0,0
1.33,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,-1.0000000000000011E-07,
1.34,0,0,0,0,0,0,0,0,0,
1.35,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,-0.0010000000000000007,
1.36,-0.0019987999999999968,-0.0019987999999999968,-0.0019987999999999968,-0.0020005999999999978,-0.0019987999999999968,-0.0019987999999999968,-0.0019987999999999968,-0.0019987999999999968,-0.0020005999999999978,
1.37,-0.0019990000000000003,-0.0019990000000000003,-0.0019990000000000003,-0.002000200000000001,-0.0019990000000000003,-0.0019990000000000003,-0.0019990000000000003,-0.0019990000000000003,-0.002000200000000001,
1.38,,,,-0.008026500000000015,,,,,,
