Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,6,6,6,33,6,6,6,6,6,
1.1,6,6,6,33,6,6,6,6,6,
1.2,6,6,6,33,6,6,6,6,6,
1.3,6,6,6,33,6,6,6,6,6,
1.4,6,6,6,33,6,6,6,6,6,
1.5,6,6,6,33,6,6,6,6,6,
1.6,6,6,6,33,6,6,6,6,6,
1.7,6,6,6,33,6,6,6,6,6,
1.8,6,6,6,33,6,6,6,6,6,
1.9,6,6,6,33,6,6,6,6,6,
1.10,6,6,6,33,6,6,6,6,6,
1.11,6,6,6,33,6,6,6,6,6,
1.12,6,6,6,33,6,6,6,6,6,
1.13,6,6,6,33,6,6,6,6,6,
1.14,6,6,6,33,6,6,6,6,6,
1.15,6,6,6,33,6,6,6,6,6,
1.16,6,6,6,33,6,6,6,6,6,
1.17,6,6,6,33,6,6,6,6,6,
1.18,,,,33,,,,,,
1.19,6,6,6,33,6,6,6,6,6,
1.20,,,,33,,,,,,
1.21,6,6,6,33,6,6,6,6,6,
1.22,6,6,6,33,6,6,6,6,6,
1.23,6,6,6,33,6,6,6,6,6,
1.24,6,6,6,33,6,6,6,6,6,
1.25,6,6,6,33,6,6,6,6,6,
1.26,6,6,6,33,6,6,6,6,6,
1.27,6,6,6,33,6,6,6,6,6,
1.28,6,6,6,33,6,6,6,6,6,
1.29,6,6,6,33,6,6,6,6,6,
1.30,6,6,6,33,6,6,6,6,6,
1.31,6,6,6,33,6,6,6,6,6,
1.32,6,6,6,33,6,6,6,6,6,2
1.33,6,6,6,33,6,6,6,6,6,
1.34,6,6,6,33,6,6,6,6,6,
1.35,6,6,6,33,6,6,6,6,6,
1.36,6,6,6,33,6,6,6,6,6,
1.37,6,6,6,33,6,6,6,6,6,
1.38,,,,33,,,,,,
