Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,1600,1600,1600,1000,1600,1600,1600,1600,1000,
1.1,900,900,900,900,900,900,900,900,900,
1.2,900,900,900,900,900,900,900,900,900,
1.3,900,900,900,900,900,900,900,900,900,
1.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,
1.5,700,700,700,700,700,700,700,700,700,
1.6,500,500,500,500,500,500,500,500,500,
1.7,700,700,700,700,700,700,700,700,700,
1.8,600,600,600,600,600,600,600,600,600,
1.9,5700,3900,3900,2100,3900,3900,5700,3900,3900,
1.10,3400,3400,3400,2200,3400,3400,3400,3400,2200,
1.11,4000,4600,4600,1600,4600,4600,4000,4600,2800,
1.12,3600,3600,3600,2400,3600,3600,3600,3600,2400,
1.13,8200,8800,8800,4600,8800,8800,8200,8800,6400,
1.14,13500,12900,12900,7500,12900,12900,13500,12900,10500,
1.15,20400,20400,20400,16200,20400,20400,20400,20400,16200,
1.16,8400,9600,9600,6000,9600,9600,8400,9600,6000,
1.17,30000,30000,30000,16200,30000,30000,30000,30000,16200,
1.18,,,,21200,,,,,,
1.19,5200,5200,5200,4000,5200,5200,5200,5200,4000,
1.20,,,,42300,,,,,,
1.21,700,700,700,700,700,700,700,700,700,
1.22,2700,2700,2700,2700,2700,2700,2700,2700,2700,
1.23,2200,2200,2200,2200,2200,2200,2200,2200,2200,
1.24,11600,11600,11600,11600,11600,11600,11600,11600,11600,
1.25,1300,1300,1300,1300,1300,1300,1300,1300,1300,
1.26,21000,19800,19800,14400,19800,19800,21000,19800,16800,
1.27,8000,6800,6800,2000,6800,6800,8000,6800,3800,
1.28,4100,4100,4100,2900,4100,4100,4100,4100,2900,
1.29,19900,16300,16300,10300,16300,16300,19900,16300,13900,
1.30,19200,22200,22200,15000,22200,22200,19200,22200,15000,
1.31,8600,9800,9800,5600,9800,9800,8600,9800,7400,
1.32,400,400,400,400,400,400,400,400,400,400
1.33,2300,2300,2300,2300,2300,2300,2300,2300,2300,
1.34,1500,1500,1500,1500,1500,1500,1500,1500,1500,
1.35,1600,1600,1600,1600,1600,1600,1600,1600,1600,
1.36,6000,6000,6000,4200,6000,6000,6000,6000,4200,
1.37,2800,2800,2800,1600,2800,2800,2800,2800,1600,
1.38,,,,4939700,,,,,,
