Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,200,200,200,0,200,200,200,200,0,
1.1,0,0,0,0,0,0,0,0,0,
1.2,0,0,0,0,0,0,0,0,0,
1.3,0,0,0,0,0,0,0,0,0,
1.4,0,0,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,0,0,
1.6,0,0,0,0,0,0,0,0,0,
1.7,0,0,0,0,0,0,0,0,0,
1.8,0,0,0,0,0,0,0,0,0,
1.9,1200,600,600,0,600,600,1200,600,600,
1.10,400,400,400,0,400,400,400,400,0,
1.11,800,1000,1000,0,1000,1000,800,1000,400,
1.12,400,400,400,0,400,400,400,400,0,
1.13,1200,1400,1400,0,1400,1400,1200,1400,600,
1.14,2000,1800,1800,0,1800,1800,2000,1800,1000,
1.15,1400,1400,1400,0,1400,1400,1400,1400,0,
1.16,800,1200,1200,0,1200,1200,800,1200,0,
1.17,4600,4600,4600,0,4600,4600,4600,4600,0,
1.18,,,,0,,,,,,
1.19,400,400,400,0,400,400,400,400,0,
1.20,,,,0,,,,,,
1.21,0,0,0,0,0,0,0,0,0,
1.22,0,0,0,0,0,0,0,0,0,
1.23,0,0,0,0,0,0,0,0,0,
1.24,0,0,0,0,0,0,0,0,0,
1.25,0,0,0,0,0,0,0,0,0,
1.26,2200,1800,1800,0,1800,1800,2200,1800,800,
1.27,2000,1600,1600,0,1600,1600,2000,1600,600,
1.28,400,400,400,0,400,400,400,400,0,
1.29,3200,2000,2000,0,2000,2000,3200,2000,1200,
1.30,1400,2400,2400,0,2400,2400,1400,2400,0,
1.31,1000,1400,1400,0,1400,1400,1000,1400,600,
1.32,0,0,0,0,0,0,0,0,0,0
1.33,0,0,0,0,0,0,0,0,0,
1.34,0,0,0,0,0,0,0,0,0,
1.35,0,0,0,0,0,0,0,0,0,
1.36,600,600,600,0,600,600,600,600,0,
1.37,400,400,400,0,400,400,400,400,0,
1.38,,,,0,,,,,,
