Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,900,900,900,800,900,900,900,900,800,
1.1,600,600,600,600,600,600,600,600,600,
1.2,600,600,600,600,600,600,600,600,600,
1.3,600,600,600,600,600,600,600,600,600,
1.4,700,700,700,700,700,700,700,700,700,
1.5,600,600,600,600,600,600,600,600,600,
1.6,500,500,500,500,500,500,500,500,500,
1.7,500,500,500,500,500,500,500,500,500,
1.8,600,600,600,600,600,600,600,600,600,
1.9,1600,1300,1300,1000,1300,1300,1600,1300,1300,
1.10,1000,1000,1000,800,1000,1000,1000,1000,800,
1.11,1100,1200,1200,700,1200,1200,1100,1200,900,
1.12,1500,1500,1500,1300,1500,1500,1500,1500,1300,
1.13,2700,2700,2700,2100,2700,2700,2700,2700,2400,
1.14,3700,3800,3800,2900,3800,3800,3700,3800,3400,
1.15,11600,11600,11600,10900,11600,11600,11600,11600,10900,
1.16,3500,3600,3600,3100,3600,3600,3500,3600,3100,
1.17,10900,10900,10900,8600,10900,10900,10900,10900,8600,
1.18,,,,11300,,,,,,
1.19,2700,2700,2700,2500,2700,2700,2700,2700,2500,
1.20,,,,19400,,,,,,
1.21,500,500,500,500,500,500,500,500,500,
1.22,2100,2100,2100,2100,2100,2100,2100,2100,2100,
1.23,1600,1600,1600,1600,1600,1600,1600,1600,1600,
1.24,8200,8200,8200,8200,8200,8200,8200,8200,8200,
1.25,800,800,800,800,800,800,800,800,800,
1.26,9600,9400,9400,8700,9400,9400,9600,9400,9100,
1.27,2000,1700,1700,1100,1700,1700,2000,1700,1400,
1.28,2000,2000,2000,1800,2000,2000,2000,2000,1800,
1.29,5100,4800,4800,3900,4800,4800,5100,4800,4500,
1.30,6000,6400,6400,5300,6400,6400,6000,6400,5300,
1.31,2900,3000,3000,2400,3000,3000,2900,3000,2700,
1.32,400,400,400,400,400,400,400,400,400,400
1.33,1500,1500,1500,1500,1500,1500,1500,1500,1500,
1.34,1100,1100,1100,1100,1100,1100,1100,1100,1100,
1.35,1100,1100,1100,1100,1100,1100,1100,1100,1100,
1.36,2800,2800,2800,2500,2800,2800,2800,2800,2500,
1.37,1100,1100,1100,900,1100,1100,1100,1100,900,
1.38,,,,2660400,,,,,,
