Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,600,600,600,3300,600,600,600,600,600,
1.1,600,600,600,3300,600,600,600,600,600,
1.2,600,600,600,3300,600,600,600,600,600,
1.3,600,600,600,3300,600,600,600,600,600,
1.4,600,600,600,3300,600,600,600,600,600,
1.5,600,600,600,3300,600,600,600,600,600,
1.6,600,600,600,3300,600,600,600,600,600,
1.7,600,600,600,3300,600,600,600,600,600,
1.8,600,600,600,3300,600,600,600,600,600,
1.9,600,600,600,3300,600,600,600,600,600,
1.10,600,600,600,3300,600,600,600,600,600,
1.11,600,600,600,3300,600,600,600,600,600,
1.12,600,600,600,3300,600,600,600,600,600,
1.13,600,600,600,3300,600,600,600,600,600,
1.14,600,600,600,3300,600,600,600,600,600,
1.15,600,600,600,3300,600,600,600,600,600,
1.16,600,600,600,3300,600,600,600,600,600,
1.17,600,600,600,3300,600,600,600,600,600,
1.18,,,,3300,,,,,,
1.19,600,600,600,3300,600,600,600,600,600,
1.20,,,,3300,,,,,,
1.21,600,600,600,3300,600,600,600,600,600,
1.22,600,600,600,3300,600,600,600,600,600,
1.23,600,600,600,3300,600,600,600,600,600,
1.24,600,600,600,3300,600,600,600,600,600,
1.25,600,600,600,3300,600,600,600,600,600,
1.26,600,600,600,3300,600,600,600,600,600,
1.27,600,600,600,3300,600,600,600,600,600,
1.28,600,600,600,3300,600,600,600,600,600,
1.29,600,600,600,3300,600,600,600,600,600,
1.30,600,600,600,3300,600,600,600,600,600,
1.31,600,600,600,3300,600,600,600,600,600,
1.32,600,600,600,3300,600,600,600,600,600,200
1.33,600,600,600,3300,600,600,600,600,600,
1.34,600,600,600,3300,600,600,600,600,600,
1.35,600,600,600,3300,600,600,600,600,600,
1.36,600,600,600,3300,600,600,600,600,600,
1.37,600,600,600,3300,600,600,600,600,600,
1.38,,,,3300,,,,,,
