Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
1.0,100,100,100,0,100,100,100,100,0,
1.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.3,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.4,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.6,0,0,0,0,0,0,0,0,0,
1.7,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.8,0,0,0,0,0,0,0,0,0,
1.9,-200,-500,-500,-800,-500,-500,-200,-500,-500,
1.10,-600,-600,-600,-800,-600,-600,-600,-600,-800,
1.11,-100,0,0,-500,0,0,-100,0,-300,
1.12,-300,-300,-300,-500,-300,-300,-300,-300,-500,
1.13,-700,-700,-700,-1300,-700,-700,-700,-700,-1000,
1.14,-1800,-1700,-1700,-2600,-1700,-1700,-1800,-1700,-2100,
1.15,-1300,-1300,-1300,-2000,-1300,-1300,-1300,-1300,-2000,
1.16,-900,-800,-800,-1300,-800,-800,-900,-800,-1300,
1.17,-1700,-1700,-1700,-4000,-1700,-1700,-1700,-1700,-4000,
1.18,,,,-3100,,,,,,
1.19,-600,-600,-600,-800,-600,-600,-600,-600,-800,
1.20,,,,-9200,,,,,,
1.21,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.22,0,0,0,0,0,0,0,0,0,
1.23,0,0,0,0,0,0,0,0,0,
1.24,-400,-400,-400,-400,-400,-400,-400,-400,-400,
1.25,-300,-300,-300,-300,-300,-300,-300,-300,-300,
1.26,-600,-800,-800,-1500,-800,-800,-600,-800,-1100,
1.27,900,600,600,0,600,600,900,600,300,
1.28,100,100,100,-100,100,100,100,100,-100,
1.29,-2100,-2400,-2400,-3300,-2400,-2400,-2100,-2400,-2700,
1.30,-4800,-4400,-4400,-5500,-4400,-4400,-4800,-4400,-5500,
1.31,-900,-800,-800,-1400,-800,-800,-900,-800,-1100,
1.32,0,0,0,0,0,0,0,0,0,0
1.33,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.34,0,0,0,0,0,0,0,0,0,
1.35,-100,-100,-100,-100,-100,-100,-100,-100,-100,
1.36,-500,-500,-500,-800,-500,-500,-500,-500,-800,
1.37,-200,-200,-200,-400,-200,-200,-200,-200,-400,
1.38,,,,-835700,,,,,,
