Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,0.0040014,N/A,0.0040014,0.0040014,0.0040008,0.0040014,0.0040014,0.0040014,0.0040014,0.0040008
2.1,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
2.2,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
2.3,0.0010007,N/A,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007,0.0010007
2.4,0.0010008,N/A,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008,0.0010008
2.5,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
2.6,0.0010004,N/A,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004,0.0010004
2.7,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
2.8,0.0010005,N/A,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005,0.0010005
2.9,0.0010048,N/A,0.001003,0.001003,0.0010012,0.001003,0.001003,0.0010048,0.001003,0.001003
2.10,0.0010016,N/A,0.0010016,0.0010016,0.001001,0.0010016,0.0010016,0.0010016,0.0010016,0.001001
2.11,0.0010033,N/A,0.0010039,0.0010039,0.0010009,0.0010039,0.0010039,0.0010033,0.0010039,0.0010021
2.12,3.1E-06,N/A,3.1E-06,3.1E-06,1.9E-06,3.1E-06,3.1E-06,3.1E-06,3.1E-06,1.9E-06
2.13,6.7E-06,N/A,6.7E-06,6.7E-06,3.1E-06,6.7E-06,6.7E-06,6.7E-06,6.7E-06,4.9E-06
2.14,9.1E-06,N/A,9.7E-06,9.7E-06,4.3E-06,9.7E-06,9.7E-06,9.1E-06,9.7E-06,7.3E-06
2.15,1.84E-05,N/A,1.84E-05,1.84E-05,1.42E-05,1.84E-05,1.84E-05,1.84E-05,1.84E-05,1.42E-05
2.16,0.001007,N/A,0.0010076,0.0010076,0.0010046,0.0010076,0.0010076,0.001007,0.0010076,0.0010046
2.17,0.0010259,N/A,0.0010259,0.0010259,0.0010121,0.0010259,0.0010259,0.0010259,0.0010259,0.0010121
2.18,N/A,N/A,N/A,N/A,0.0010174,N/A,N/A,N/A,N/A,N/A
