Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,6E-07,N/A,6E-07,6E-07,0,6E-07,6E-07,6E-07,6E-07,0
2.1,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
2.2,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
2.3,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
2.4,-0.001,N/A,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
2.5,-1E-07,N/A,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07
2.6,0,N/A,0,0,0,0,0,0,0,0
2.7,-1E-07,N/A,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07,-1E-07
2.8,0,N/A,0,0,0,0,0,0,0,0
2.9,-0.001997,N/A,-0.0019988,-0.0019988,-0.0020006,-0.0019988,-0.0019988,-0.001997,-0.0019988,-0.0019988
2.10,-0.0019997,N/A,-0.0019997,-0.0019997,-0.0020003,-0.0019997,-0.0019997,-0.0019997,-0.0019997,-0.0020003
2.11,-0.0029979,N/A,-0.0029973,-0.0029973,-0.0030003,-0.0029973,-0.0029973,-0.0029979,-0.0029973,-0.0029991
2.12,7E-07,N/A,7E-07,7E-07,-5E-07,7E-07,7E-07,7E-07,7E-07,-5E-07
2.13,2.1E-06,N/A,2.1E-06,2.1E-06,-1.5E-06,2.1E-06,2.1E-06,2.1E-06,2.1E-06,3E-07
2.14,1.6E-06,N/A,2.2E-06,2.2E-06,-3.2E-06,2.2E-06,2.2E-06,1.6E-06,2.2E-06,-2E-07
2.15,2.2E-06,N/A,2.2E-06,2.2E-06,-2E-06,2.2E-06,2.2E-06,2.2E-06,2.2E-06,-2E-06
2.16,-0.0039985,N/A,-0.0039979,-0.0039979,-0.0040009,-0.0039979,-0.0039979,-0.0039985,-0.0039979,-0.0040009
2.17,-0.00199,N/A,-0.00199,-0.00199,-0.0020038,-0.00199,-0.00199,-0.00199,-0.00199,-0.0020038
2.18,N/A,N/A,N/A,N/A,-0.004003,N/A,N/A,N/A,N/A,N/A
