Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,8,N/A,8,8,2,8,8,8,8,2
2.1,2,N/A,2,2,2,2,2,2,2,2
2.2,2,N/A,2,2,2,2,2,2,2,2
2.3,2,N/A,2,2,2,2,2,2,2,2
2.4,2,N/A,2,2,2,2,2,2,2,2
2.5,0,N/A,0,0,0,0,0,0,0,0
2.6,0,N/A,0,0,0,0,0,0,0,0
2.7,1,N/A,1,1,1,1,1,1,1,1
2.8,0,N/A,0,0,0,0,0,0,0,0
2.9,39,N/A,21,21,3,21,21,39,21,21
2.10,8,N/A,8,8,2,8,8,8,8,2
2.11,28,N/A,34,34,4,34,34,28,34,16
2.12,18,N/A,18,18,6,18,18,18,18,6
2.13,48,N/A,54,54,12,54,54,48,54,30
2.14,80,N/A,74,74,20,74,74,80,74,50
2.15,75,N/A,75,75,33,75,75,75,75,33
2.16,40,N/A,52,52,16,52,52,40,52,16
2.17,174,N/A,174,174,36,174,174,174,174,36
2.18,N/A,N/A,N/A,N/A,68,N/A,N/A,N/A,N/A,N/A
