Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,2,N/A,2,2,0,2,2,2,2,0
2.1,0,N/A,0,0,0,0,0,0,0,0
2.2,0,N/A,0,0,0,0,0,0,0,0
2.3,0,N/A,0,0,0,0,0,0,0,0
2.4,0,N/A,0,0,0,0,0,0,0,0
2.5,0,N/A,0,0,0,0,0,0,0,0
2.6,0,N/A,0,0,0,0,0,0,0,0
2.7,0,N/A,0,0,0,0,0,0,0,0
2.8,0,N/A,0,0,0,0,0,0,0,0
2.9,12,N/A,6,6,0,6,6,12,6,6
2.10,2,N/A,2,2,0,2,2,2,2,0
2.11,8,N/A,10,10,0,10,10,8,10,4
2.12,4,N/A,4,4,0,4,4,4,4,0
2.13,12,N/A,14,14,0,14,14,12,14,6
2.14,20,N/A,18,18,0,18,18,20,18,10
2.15,14,N/A,14,14,0,14,14,14,14,0
2.16,8,N/A,12,12,0,12,12,8,12,0
2.17,46,N/A,46,46,0,46,46,46,46,0
2.18,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
