Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,6;9,N/A,6;9,6;9,33;8,6;9,6;9,6;9,6;9,6;8
2.1,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
2.2,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
2.3,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
2.4,6;7,N/A,6;7,6;7,33;7,6;7,6;7,6;7,6;7,6;7
2.5,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
2.6,6;5,N/A,6;5,6;5,33;5,6;5,6;5,6;5,6;5,6;5
2.7,6;5,N/A,6;5,6;5,33;5,6;5,6;5,6;5,6;5,6;5
2.8,6;6,N/A,6;6,6;6,33;6,6;6,6;6,6;6,6;6,6;6
2.9,6;16,N/A,6;13,6;13,33;10,6;13,6;13,6;16,6;13,6;13
2.10,6;10,N/A,6;10,6;10,33;9,6;10,6;10,6;10,6;10,6;9
2.11,6;11,N/A,6;12,6;12,33;7,6;12,6;12,6;11,6;12,6;9
2.12,6;15,N/A,6;15,6;15,33;13,6;15,6;15,6;15,6;15,6;13
2.13,6;27,N/A,6;27,6;27,33;21,6;27,6;27,6;27,6;27,6;24
2.14,6;37,N/A,6;38,6;38,33;29,6;38,6;38,6;37,6;38,6;34
2.15,6;116,N/A,6;116,6;116,33;109,6;116,6;116,6;116,6;116,6;109
2.16,6;35,N/A,6;36,6;36,33;31,6;36,6;36,6;35,6;36,6;31
2.17,6;109,N/A,6;109,6;109,33;86,6;109,6;109,6;109,6;109,6;86
2.18,N/A,N/A,N/A,N/A,33;113,N/A,N/A,N/A,N/A,N/A
