Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
2.0, 2.0 Quantum Teleportation, 0.1333049, 0.013473, 0.0118587
2.1, 2.1 Superdense coding of 0, 0.0613877, 0.0009438, 0.0059956
2.2, 2.2 Superdense coding of 1, 0.0606961, 0.0009839, 0.0059127
2.3, 2.3 Superdense coding of 2, 0.0625567, 0.0009505, 0.0061062
2.4, 2.4 Superdense coding of 3, 0.0633422, 0.0010374, 0.0061801
2.5, 2.5 Deutsch Algorithm Constant True, 0.0640241, 0.0008651, 0.0062139
2.6, 2.6 Deutsch Algorithm Constant False, 0.0693419, 0.0008459, 0.006799
2.7, 2.7 Deutsch Algorithm Identity, 0.0597669, 0.0010454, 0.0058146
2.8, 2.8 Deutsch Algorithm Inversion, 0.0625221, 0.0012143, 0.0060697
2.9, 2.9 Deutsch-Josza with 3 qubits, 0.0700712, 0.0020796, 0.0067455
2.10, 2.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0627541, 0.0015421, 0.006068
2.11, 2.11 Simons Algorithm for 11, 0.0636639, 0.0011422, 0.0062108
2.12, 2.12 3 Qubit Quantum Fourier Transform, 0.065583, 0.0024439, 0.0062154
2.13, 2.13 4 Qubit Quantum Fourier Transform, 0.0718428, 0.0013344, 0.0069904
2.14, 2.14 5 Qubit Quantum Fourier Transform, 0.077184, 0.0020605, 0.0074736
2.15, 2.15 Gover's search with 9 items, 0.0909506, 0.0021561, 0.0088319
2.16, 2.16 Quantum Approximate Optimization MaxCut, 0.0691088, 0.0016667, 0.0067006
2.17, 2.17 011_3_qubit_grover_50_, 0.085395, 0.0023548, 0.008258
2.18, 2.18 adder, 0.0565739, 0.0021094, 0.005387
2.19, 2.19 bernstein-vazirani, 0.0681837, 0.0011877, 0.00665
2.20, 2.20 bigadder, 0.0624942, 0.0044803, 0.0057599
2.21, 2.21 Deutsch_Algorithm, 0.0593846, 0.0009172, 0.0057958
2.22, 2.22 inverseqft1, 0.0644699, 0.0012744, 0.0062725
2.23, 2.23 inverseqft2, 0.0649227, 0.0014209, 0.0063023
2.24, 2.24 ipea_3_pi_8, 0.0807875, 0.002533, 0.0077487
2.25, 2.25 iswap, 0.0698087, 0.001157, 0.0067874
2.26, 2.26 pea_3_pi_8, 0.0838444, 0.0021883, 0.0081109
2.27, 2.27 qec, 0.1196951, 0.0012223, 0.0117915
2.28, 2.28 qe_qft_3, 0.0658604, 0.0010499, 0.0064224
2.29, 2.29 qe_qft_4, 0.080314, 0.002021, 0.0076953
2.30, 2.30 qe_qft_5, 0.0847915, 0.002494, 0.0081758
2.31, 2.31 qft, 0.0704319, 0.0012989, 0.0068685
2.32, 2.32 qpt, 0.1181991, 0.0009029, 0.0116613
2.33, 2.33 rb, 0.0650854, 0.0010363, 0.0063462
2.34, 2.34 teleport, 0.0662168, 0.0009796, 0.0064874
2.35, 2.35 teleportv2, 0.0622333, 0.0009519, 0.0060842
2.36, 2.36 W-state, 0.0671201, 0.0012171, 0.0065428
2.37, 2.37 W3test, 0.0605651, 0.00106, 0.0059134
2.38, 2.38 Shors Quantum Kernel, 20.8387488, 0.2878264, 2.0549819
