Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,0.0367226,N/A,0.0018396,0.0016912,0.0018821,0.0018337,0.0014611,0.0016652,0.0019685,0.0012555
2.1,0.001172,N/A,0.0018943,0.0015244,0.0012711,0.0015552,0.0018332,0.0018387,0.0018555,0.0013116
2.2,0.0012753,N/A,0.0017194,0.0013501,0.0013113,0.0019985,0.0014447,0.001552,0.0017264,0.0017493
2.3,0.0012659,N/A,0.0014867,0.0012284,0.0019298,0.0013208,0.0013795,0.0028984,0.0016963,0.0016334
2.4,0.0032919,N/A,0.0014718,0.0017228,0.0025272,0.0016884,0.0015019,0.0015836,0.0013581,0.0013627
2.5,0.0014289,N/A,0.0014388,0.0012812,0.0014062,0.0013436,0.0016061,0.0013044,0.0013164,0.0014625
2.6,0.0115124,N/A,0.0016823,0.0017189,0.0015665,0.0014359,0.0015058,0.0016582,0.0015572,0.0019501
2.7,0.0014933,N/A,0.0015719,0.0016189,0.0013661,0.0020663,0.0014396,0.0014241,0.0022631,0.0026978
2.8,0.002021,N/A,0.0015899,0.001779,0.0014759,0.002124,0.0015866,0.0018306,0.0015793,0.0015588
2.9,0.0025932,N/A,0.0018877,0.0017929,0.0016995,0.0024818,0.0017354,0.0017777,0.0016907,0.0019701
2.10,0.0014178,N/A,0.0020403,0.0015552,0.0020174,0.0019728,0.0017321,0.0015891,0.0018473,0.0015051
2.11,0.0017034,N/A,0.001976,0.0018718,0.0016162,0.0018436,0.002018,0.0015701,0.0016865,0.0014837
2.12,0.0016704,N/A,0.0016059,0.0014783,0.0015956,0.0014007,0.0016095,0.0016071,0.002264,0.0017549
2.13,0.0018249,N/A,0.0033861,0.0028358,0.0020748,0.00237,0.0035769,0.002157,0.0025762,0.0024476
2.14,0.0027787,N/A,0.0026047,0.0025635,0.0023596,0.0028375,0.0030231,0.0019834,0.0025619,0.0023782
2.15,0.0035503,N/A,0.0036984,0.0034806,0.0041588,0.0035249,0.0039095,0.0042284,0.0034829,0.003646
2.16,0.0017686,N/A,0.0020199,0.002251,0.0021675,0.0025068,0.0063439,0.0019032,0.0020246,0.0017693
2.17,0.0044172,N/A,0.0044561,0.0045726,0.0050695,0.0041686,0.0035977,0.0035525,0.0049943,0.0038499
2.18,N/A,N/A,N/A,N/A,0.0042309,N/A,N/A,N/A,N/A,N/A
2.19,0.0018457,N/A,0.0019373,0.0021979,0.0019687,0.0019675,0.0018715,0.0024295,0.001716,0.0025809
2.20,N/A,N/A,N/A,N/A,0.0092178,N/A,N/A,N/A,N/A,N/A
2.21,0.001631,N/A,0.001814,0.0014104,0.0016009,0.0014413,0.001288,0.001739,0.0015918,0.0014248
2.22,0.0015683,N/A,0.0015494,0.0015248,0.00204,0.0017416,0.0017983,0.0015264,0.001637,0.0017104
2.23,0.0013816,N/A,0.0019837,0.0014981,0.00176,0.0017548,0.0021642,0.0017911,0.0018387,0.0017428
2.24,0.0032208,N/A,0.0029959,0.0034722,0.0027734,0.0030211,0.002977,0.0032029,0.0028368,0.0022699
2.25,0.0014928,N/A,0.0012629,0.0018328,0.0015903,0.0017396,0.0015733,0.0014425,0.0013373,0.0014528
2.26,0.0034923,N/A,0.0037897,0.003265,0.002602,0.0035691,0.0028177,0.0030862,0.0025802,0.0028909
2.27,0.0017025,N/A,0.0015797,0.001628,0.0016674,0.0014655,0.0019025,0.0019082,0.001817,0.0018434
2.28,0.0021495,N/A,0.0019435,0.0020919,0.0016439,0.0017792,0.0023639,0.0019049,0.0022454,0.0016233
2.29,0.0034374,N/A,0.0032231,0.0030319,0.0026202,0.0033885,0.0039134,0.0033759,0.0026621,0.0022822
2.30,0.0034704,N/A,0.0034051,0.00303,0.0026186,0.0033791,0.0034327,0.0031497,0.0033683,0.0033962
2.31,0.0023109,N/A,0.0026838,0.0023911,0.0021431,0.0021956,0.0019122,0.0020656,0.0019929,0.0017858
2.32,0.0010484,0.0012798,0.0012933,0.0015236,0.0014056,0.0013751,0.0016286,0.0011469,0.001394,0.0023833
2.33,0.0015132,N/A,0.0015212,0.0016297,0.0015101,0.0023235,0.00202,0.0014468,0.0015661,0.0015702
2.34,0.0012353,N/A,0.0014817,0.0015341,0.0012444,0.0017143,0.0015138,0.0013761,0.0015692,0.0014133
2.35,0.0012942,N/A,0.0016957,0.0015311,0.0017141,0.0015423,0.0018412,0.0014228,0.0014828,0.0015111
2.36,0.0020311,N/A,0.0018859,0.0022826,0.0020974,0.0027533,0.0018143,0.0025057,0.0019631,0.0019713
2.37,0.0015632,N/A,0.0017222,0.0019629,0.0014672,0.0016769,0.0015622,0.001763,0.0017867,0.0014947
2.38,N/A,N/A,N/A,N/A,21.7079098,N/A,N/A,N/A,N/A,N/A
