Circuit Id,Generic Linear 5 Qubit Machine,Armonk,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown
2.0,0.0289333,N/A,0.001602,0.0012426,0.0011459,0.001281,0.0011301,0.0012683,0.0011581,0.0012318
2.1,0.0011131,N/A,0.0012356,0.001097,0.0012672,0.0011251,0.0012932,0.0012238,0.0011025,0.0011614
2.2,0.0011158,N/A,0.0012586,0.0011418,0.0012433,0.0012198,0.0010869,0.001503,0.0011103,0.0010832
2.3,0.0009682,N/A,0.0024231,0.0012393,0.0011948,0.0012184,0.0011097,0.0012217,0.00112,0.0011504
2.4,0.0024271,N/A,0.0012539,0.0011927,0.0013017,0.0012128,0.0010312,0.0011157,0.0010078,0.0010236
2.5,0.0009039,N/A,0.0009698,0.0012618,0.0012837,0.0014571,0.0015117,0.0013116,0.0011022,0.0011448
2.6,0.009467,N/A,0.0012245,0.0015733,0.0011089,0.0014393,0.0012347,0.0010928,0.0011997,0.0011678
2.7,0.0011974,N/A,0.0012088,0.0012755,0.0011753,0.0010779,0.0016182,0.0011806,0.0010794,0.0014799
2.8,0.0010221,N/A,0.0012607,0.0011065,0.0012646,0.0010855,0.0014311,0.0011718,0.0011532,0.0011464
2.9,0.0020333,N/A,0.0014953,0.0014863,0.0013268,0.0013392,0.0013649,0.0013188,0.0013413,0.001392
2.10,0.0013933,N/A,0.001364,0.0014075,0.0014069,0.0012745,0.001446,0.0012862,0.001548,0.0012702
2.11,0.0012971,N/A,0.0016375,0.0019402,0.0012448,0.0014763,0.0015978,0.0012417,0.0016858,0.0013223
2.12,0.0011682,N/A,0.0013631,0.0013129,0.0013771,0.0014717,0.0014145,0.0012659,0.0014916,0.0013689
2.13,0.0019294,N/A,0.0019557,0.0025307,0.0015496,0.0020339,0.0020111,0.0014654,0.0021003,0.0015232
2.14,0.0018449,N/A,0.0028941,0.0024185,0.0020875,0.0021563,0.0029476,0.0018627,0.0047007,0.0020298
2.15,0.0032085,N/A,0.0030798,0.0034812,0.0034884,0.0033624,0.0029332,0.0036127,0.0030409,0.0033003
2.16,0.0016992,N/A,0.0017162,0.0023493,0.0015933,0.0021992,0.0017132,0.0017993,0.0017782,0.0015718
2.17,0.0030707,N/A,0.003204,0.0042877,0.0030962,0.0036596,0.0030814,0.0033526,0.0037222,0.0028822
2.18,N/A,N/A,N/A,N/A,0.0042517,N/A,N/A,N/A,N/A,N/A
2.19,0.0018588,N/A,0.001567,0.0019411,0.0018208,0.0020196,0.0016742,0.0015406,0.0020981,0.0016779
2.20,N/A,N/A,N/A,N/A,0.0076132,N/A,N/A,N/A,N/A,N/A
2.21,0.0011326,N/A,0.0013257,0.0012228,0.0011311,0.0015564,0.0011454,0.0011031,0.0012495,0.0011568
2.22,0.0013984,N/A,0.00153,0.0014819,0.0013739,0.0014881,0.0014352,0.0013191,0.0014831,0.001342
2.23,0.0012607,N/A,0.0015037,0.0013426,0.0016611,0.0017044,0.0013511,0.0012839,0.0013844,0.0012949
2.24,0.0025306,N/A,0.0031428,0.0027205,0.0029834,0.0028464,0.0229503,0.0025292,0.0030369,0.0028843
2.25,0.0012042,N/A,0.0013847,0.0013726,0.0016382,0.0012291,0.0017176,0.0012497,0.0011263,0.0015286
2.26,0.003022,N/A,0.0027922,0.003205,0.0023584,0.0027155,0.0023196,0.0024281,0.0023198,0.0023976
2.27,0.001281,N/A,0.0012446,0.0015927,0.0012347,0.0019665,0.0013641,0.0012903,0.0017806,0.0011312
2.28,0.0011767,N/A,0.0015679,0.001231,0.0018023,0.00145,0.0013911,0.0014022,0.0011647,0.0014172
2.29,0.0025718,N/A,0.0021146,0.0021194,0.0020654,0.0022684,0.0020678,0.003043,0.0020894,0.002357
2.30,0.0029336,N/A,0.0026708,0.0028081,0.0021771,0.0027567,0.0025922,0.0028439,0.0024756,0.0023457
2.31,0.0016434,N/A,0.0018074,0.0020602,0.0014663,0.0018492,0.001827,0.0018993,0.0018707,0.0019924
2.32,0.0009606,0.0010542,0.0011873,0.001163,0.0010629,0.0011625,0.0011335,0.0010347,0.0011752,0.0010623
2.33,0.0013336,N/A,0.0013773,0.0014706,0.0012189,0.0013275,0.0012354,0.0012039,0.0014145,0.0012342
2.34,0.0011245,N/A,0.0012233,0.0012894,0.0011864,0.0013668,0.001256,0.0011199,0.0017035,0.0012525
2.35,0.0011718,N/A,0.00128,0.0013447,0.0013099,0.0011547,0.001261,0.0011945,0.0011913,0.0012551
2.36,0.0015256,N/A,0.0015768,0.0015749,0.0015685,0.0014065,0.0017392,0.0015391,0.0015286,0.0014653
2.37,0.0011428,N/A,0.0012629,0.0011937,0.0011946,0.0011961,0.0013242,0.0011576,0.0011339,0.0012721
2.38,N/A,N/A,N/A,N/A,23.7139333,N/A,N/A,N/A,N/A,N/A
