Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
2.0,5.630896993923778E-17,5.630896993923778E-17,5.630896993923778E-17,6.435310850198603E-17,5.630896993923778E-17,5.630896993923778E-17,5.630896993923778E-17,5.630896993923778E-17,6.435310850198603E-17,
2.1,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,
2.2,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,
2.3,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,
2.4,0,0,0,0,0,0,0,0,0,
2.5,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,
2.6,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,1.0055173203435317E-17,
2.7,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,
2.8,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,
2.9,0,0,0,1.2066207844122381E-17,0,0,0,0,0,
2.10,1.4077242484809444E-17,1.4077242484809444E-17,1.4077242484809444E-17,0,1.4077242484809444E-17,1.4077242484809444E-17,1.4077242484809444E-17,1.4077242484809444E-17,0,
2.11,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,6.033103922061191E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,
2.12,2.3566812195551526E-20,2.3566812195551526E-20,2.3566812195551526E-20,0,2.3566812195551526E-20,2.3566812195551526E-20,2.3566812195551526E-20,2.3566812195551526E-20,0,
2.13,0,0,0,2.3566812195551526E-20,0,0,0,0,6.284483252147074E-20,
2.14,1.4140087317330914E-19,9.42672487822061E-20,9.42672487822061E-20,2.3566812195551526E-20,9.42672487822061E-20,9.42672487822061E-20,1.4140087317330914E-19,9.42672487822061E-20,4.713362439110305E-20,
2.15,9.42672487822061E-20,9.42672487822061E-20,9.42672487822061E-20,1.4140087317330914E-19,9.42672487822061E-20,9.42672487822061E-20,9.42672487822061E-20,9.42672487822061E-20,1.4140087317330914E-19,
2.16,1.0055173203435317E-17,1.2066207844122381E-17,1.2066207844122381E-17,8.044138562748254E-18,1.2066207844122381E-17,1.2066207844122381E-17,1.0055173203435317E-17,1.2066207844122381E-17,8.044138562748254E-18,
2.17,0,0,0,8.044138562748254E-18,0,0,0,0,8.044138562748254E-18,
2.18,,,,1.2066207844122381E-17,,,,,,
2.19,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,1.608827712549651E-17,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,1.608827712549651E-17,
2.20,,,,4.022069281374127E-18,,,,,,
2.21,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,8.044138562748254E-18,
2.22,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,2.895889882589371E-16,
2.23,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,8.044138562748254E-17,
2.24,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,3.2176554250993015E-16,
2.25,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,
2.26,8.044138562748254E-18,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,8.044138562748254E-18,1.2066207844122381E-17,8.044138562748254E-18,
2.27,9.652966275297905E-17,8.044138562748254E-17,8.044138562748254E-17,4.022069281374127E-17,8.044138562748254E-17,8.044138562748254E-17,9.652966275297905E-17,8.044138562748254E-17,6.435310850198603E-17,
2.28,4.022069281374127E-18,4.022069281374127E-18,4.022069281374127E-18,1.2066207844122381E-17,4.022069281374127E-18,4.022069281374127E-18,4.022069281374127E-18,4.022069281374127E-18,1.2066207844122381E-17,
2.29,1.608827712549651E-17,6.033103922061191E-18,6.033103922061191E-18,1.2066207844122381E-17,6.033103922061191E-18,6.033103922061191E-18,1.608827712549651E-17,6.033103922061191E-18,4.022069281374127E-18,
2.30,6.033103922061191E-18,8.044138562748254E-18,8.044138562748254E-18,1.608827712549651E-17,8.044138562748254E-18,8.044138562748254E-18,6.033103922061191E-18,8.044138562748254E-18,1.608827712549651E-17,
2.31,8.044138562748254E-18,1.0055173203435317E-17,1.0055173203435317E-17,4.022069281374127E-18,1.0055173203435317E-17,1.0055173203435317E-17,8.044138562748254E-18,1.0055173203435317E-17,8.044138562748254E-18,
2.32,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18
2.33,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,
2.34,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,8.848552419023079E-17,
