Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
2.0,5.8917030488878815E-21,5.8917030488878815E-21,5.8917030488878815E-21,0,5.8917030488878815E-21,5.8917030488878815E-21,5.8917030488878815E-21,5.8917030488878815E-21,0,
2.1,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,
2.2,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,
2.3,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,
2.4,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,
2.5,0,0,0,0,0,0,0,0,0,
2.6,0,0,0,0,0,0,0,0,0,
2.7,0,0,0,0,0,0,0,0,0,
2.8,0,0,0,0,0,0,0,0,0,
2.9,8.044138562748254E-18,2.4132415688244763E-17,2.4132415688244763E-17,8.044138562748254E-18,2.4132415688244763E-17,2.4132415688244763E-17,8.044138562748254E-18,2.4132415688244763E-17,2.4132415688244763E-17,
2.10,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.608827712549651E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.2066207844122381E-17,1.608827712549651E-17,
2.11,1.2066207844122381E-17,2.4132415688244763E-17,2.4132415688244763E-17,4.4242762095115397E-17,2.4132415688244763E-17,2.4132415688244763E-17,1.2066207844122381E-17,2.4132415688244763E-17,2.4132415688244763E-17,
2.12,1.4729257622219703E-20,1.4729257622219703E-20,1.4729257622219703E-20,7.855604065183842E-21,1.4729257622219703E-20,1.4729257622219703E-20,1.4729257622219703E-20,1.4729257622219703E-20,7.855604065183842E-21,
2.13,1.9639010162959604E-20,1.9639010162959604E-20,1.9639010162959604E-20,1.1783406097775763E-20,1.9639010162959604E-20,1.9639010162959604E-20,1.9639010162959604E-20,1.9639010162959604E-20,2.9458515244439408E-21,
2.14,0,3.927802032591921E-21,3.927802032591921E-21,0,3.927802032591921E-21,3.927802032591921E-21,0,3.927802032591921E-21,0,
2.15,3.927802032591921E-21,3.927802032591921E-21,3.927802032591921E-21,3.142241626073537E-20,3.927802032591921E-21,3.927802032591921E-21,3.927802032591921E-21,3.927802032591921E-21,3.142241626073537E-20,
2.16,0,8.044138562748254E-18,8.044138562748254E-18,5.630896993923778E-17,8.044138562748254E-18,8.044138562748254E-18,0,8.044138562748254E-18,5.630896993923778E-17,
2.17,4.022069281374127E-18,4.022069281374127E-18,4.022069281374127E-18,0,4.022069281374127E-18,4.022069281374127E-18,4.022069281374127E-18,4.022069281374127E-18,0,
2.18,,,,1.608827712549651E-17,,,,,,
2.19,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,1.608827712549651E-17,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,2.0110346406870636E-18,1.608827712549651E-17,
2.20,,,,4.8264831376489526E-17,,,,,,
2.21,0,0,0,0,0,0,0,0,0,
2.22,0,0,0,0,0,0,0,0,0,
2.23,0,0,0,0,0,0,0,0,0,
2.24,0,0,0,0,0,0,0,0,0,
2.25,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,1.608827712549651E-17,
2.26,4.022069281374127E-18,2.815448496961889E-17,2.815448496961889E-17,5.630896993923778E-17,2.815448496961889E-17,2.815448496961889E-17,4.022069281374127E-18,2.815448496961889E-17,8.044138562748254E-18,
2.27,8.641164471702226E-20,3.927802032591921E-21,3.927802032591921E-21,0,3.927802032591921E-21,3.927802032591921E-21,8.641164471702226E-20,3.927802032591921E-21,1.9639010162959605E-21,
2.28,1.9639010162959605E-21,1.9639010162959605E-21,1.9639010162959605E-21,0,1.9639010162959605E-21,1.9639010162959605E-21,1.9639010162959605E-21,1.9639010162959605E-21,0,
2.29,2.3566812195551526E-20,1.3747307114071723E-20,1.3747307114071723E-20,3.927802032591921E-20,1.3747307114071723E-20,1.3747307114071723E-20,2.3566812195551526E-20,1.3747307114071723E-20,7.855604065183842E-21,
2.30,3.927802032591921E-20,0,0,0,0,0,3.927802032591921E-20,0,0,
2.31,2.9458515244439407E-20,3.142241626073537E-20,3.142241626073537E-20,0,3.142241626073537E-20,3.142241626073537E-20,2.9458515244439407E-20,3.142241626073537E-20,0,
2.32,0,0,0,0,0,0,0,0,0,0
2.33,0,0,0,0,0,0,0,0,0,
2.34,0,0,0,0,0,0,0,0,0,
2.35,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,6.033103922061191E-18,
