Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
2.0,1.1394285681822232E-16,6.151400077395723E-19,1.1829615533453313E-19,9.723943968498625E-18,2.1293307960215966E-19,2.9100854212295155E-18,5.749193149258311E-18,4.14036543670866E-18,3.0757000386978617E-19,
2.1,1.514190788282024E-18,7.78388702101228E-18,2.152990027088503E-18,2.839107728028795E-19,3.548884660035994E-19,7.334361630741055E-19,3.312292349366928E-19,1.017346935876985E-18,2.0820123338877833E-18,
2.2,3.170336962965488E-18,8.99050780542452E-19,5.0867346793849254E-18,2.271286182423036E-18,3.9274323571065005E-18,1.9873754096201567E-18,3.454247735768368E-18,9.227100116093586E-19,4.779164675515139E-18,
2.3,8.28073087341732E-19,4.06938774350794E-18,9.227100116093586E-19,2.9810631144302353E-18,7.618272403543933E-18,5.205030834719458E-19,4.471594671645353E-18,4.779164675515139E-18,1.798101561084904E-18,
2.4,4.35329851631082E-18,2.5078784930921026E-18,3.548884660035994E-19,4.731846213381325E-19,1.3249169397467713E-18,3.809136201771967E-18,3.2413146561662082E-18,7.334361630741055E-19,3.667180815370527E-18,
2.5,2.401411953291023E-18,1.4195538640143976E-19,2.1293307960215966E-19,6.10408161526191E-18,2.7208115726942623E-18,9.700284737431717E-19,5.3706454521878045E-18,2.2476269513561297E-18,3.3596108115007413E-18,
2.6,1.135643091211518E-18,2.9810631144302353E-18,6.671903160867669E-18,1.89273848535253E-18,1.0410061669438917E-18,1.1829615533453313E-19,3.2176554250993014E-18,8.42268625981876E-18,5.867489304592844E-18,
2.7,1.9400569474863434E-18,7.097769320071988E-19,3.3596108115007413E-18,1.514190788282024E-18,4.897460830849672E-18,5.914807766726657E-19,2.697152341627356E-18,6.553607005533136E-18,1.1829615533453314E-18,
2.8,7.736568558878467E-18,4.660868520180606E-18,8.304390104484227E-18,3.9274323571065005E-18,1.9637161785532503E-18,1.656146174683464E-18,2.6261746484266357E-18,2.8391077280287954E-18,6.908495471536736E-18,
2.9,3.1466777318985816E-18,3.2649738872331147E-18,9.227100116093586E-19,1.9637161785532503E-18,1.0481039362639636E-17,9.46369242676265E-19,2.4605600309582893E-18,2.7208115726942623E-18,2.10567156495469E-18,
