Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
2.0,680,680,680,170,680,680,680,680,170,
2.1,170,170,170,170,170,170,170,170,170,
2.2,170,170,170,170,170,170,170,170,170,
2.3,170,170,170,170,170,170,170,170,170,
2.4,170,170,170,170,170,170,170,170,170,
2.5,0,0,0,0,0,0,0,0,0,
2.6,0,0,0,0,0,0,0,0,0,
2.7,85,85,85,85,85,85,85,85,85,
2.8,0,0,0,0,0,0,0,0,0,
2.9,3315,1785,1785,255,1785,1785,3315,1785,1785,
2.10,1530,1530,1530,510,1530,1530,1530,1530,510,
2.11,2380,2890,2890,340,2890,2890,2380,2890,1360,
2.12,1530,1530,1530,510,1530,1530,1530,1530,510,
2.13,4080,4590,4590,1020,4590,4590,4080,4590,2550,
2.14,6800,6290,6290,1700,6290,6290,6800,6290,4250,
2.15,6375,6375,6375,2805,6375,6375,6375,6375,2805,
2.16,3400,4420,4420,1360,4420,4420,3400,4420,1360,
2.17,14790,14790,14790,3060,14790,14790,14790,14790,3060,
2.18,,,,5780,,,,,,
2.19,1615,1615,1615,595,1615,1615,1615,1615,595,
2.20,,,,11645,,,,,,
2.21,85,85,85,85,85,85,85,85,85,
2.22,510,510,510,510,510,510,510,510,510,
2.23,510,510,510,510,510,510,510,510,510,
2.24,2550,2550,2550,2550,2550,2550,2550,2550,2550,
2.25,170,170,170,170,170,170,170,170,170,
2.26,9180,8160,8160,3570,8160,8160,9180,8160,5610,
2.27,5865,4845,4845,765,4845,4845,5865,4845,2295,
2.28,1870,1870,1870,850,1870,1870,1870,1870,850,
2.29,10795,7735,7735,2635,7735,7735,10795,7735,5695,
2.30,7140,9690,9690,3570,9690,9690,7140,9690,3570,
2.31,4080,5100,5100,1530,5100,5100,4080,5100,3060,
2.32,0,0,0,0,0,0,0,0,0,0
2.33,595,595,595,595,595,595,595,595,595,
2.34,340,340,340,340,340,340,340,340,340,
2.35,340,340,340,340,340,340,340,340,340,
2.36,2295,2295,2295,765,2295,2295,2295,2295,765,
2.37,1275,1275,1275,255,1275,1275,1275,1275,255,
2.38,,,,1227060,,,,,,
