Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
3.0, 3.0 Quantum Teleportation, 0.1474444, 0.0136919, 0.0132607
3.1, 3.1 Superdense coding of 0, 0.0718389, 0.0010582, 0.00703
3.2, 3.2 Superdense coding of 1, 0.0686885, 0.001491, 0.0066521
3.3, 3.3 Superdense coding of 2, 0.0705064, 0.001243, 0.0068726
3.4, 3.4 Superdense coding of 3, 0.0680503, 0.0014021, 0.0065948
3.5, 3.5 Deutsch Algorithm Constant True, 0.0682545, 0.0011256, 0.0066597
3.6, 3.6 Deutsch Algorithm Constant False, 0.0737497, 0.0010945, 0.0071872
3.7, 3.7 Deutsch Algorithm Identity, 0.0652481, 0.0011184, 0.0063679
3.8, 3.8 Deutsch Algorithm Inversion, 0.0719161, 0.0014239, 0.007
3.9, 3.9 Deutsch-Josza with 3 qubits, 0.0730173, 0.0020919, 0.0070337
3.10, 3.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0663695, 0.0021081, 0.0063652
3.11, 3.11 Simons Algorithm for 11, 0.0686217, 0.0012505, 0.0066872
3.12, 3.12 3 Qubit Quantum Fourier Transform, 0.0709686, 0.0014839, 0.0068855
3.13, 3.13 4 Qubit Quantum Fourier Transform, 0.0756287, 0.0017914, 0.0073418
3.14, 3.14 5 Qubit Quantum Fourier Transform, 0.081481, 0.0018552, 0.0079072
3.15, 3.15 Gover's search with 9 items, 0.0931556, 0.002507, 0.0090108
3.16, 3.16 Quantum Approximate Optimization MaxCut, 0.0761172, 0.0016249, 0.0074002
3.17, 3.17 011_3_qubit_grover_50_, 0.0976567, 0.003086, 0.009404
3.18, 3.18 adder, 0.0597534, 0.0025584, 0.0056606
3.19, 3.19 bernstein-vazirani, 0.076219, 0.0014786, 0.0074042
3.20, 3.20 bigadder, 0.0649768, 0.0039567, 0.0060371
3.21, 3.21 Deutsch_Algorithm, 0.0684478, 0.001212, 0.0066717
3.22, 3.22 inverseqft1, 0.0692888, 0.0016987, 0.0066962
3.23, 3.23 inverseqft2, 0.0708832, 0.0013067, 0.006914
3.24, 3.24 ipea_3_pi_8, 0.0892948, 0.0026468, 0.0086154
3.25, 3.25 iswap, 0.0683824, 0.0012426, 0.0066679
3.26, 3.26 pea_3_pi_8, 0.0937201, 0.0025425, 0.0090703
3.27, 3.27 qec, 0.0668633, 0.0012592, 0.0065094
3.28, 3.28 qe_qft_3, 0.0680755, 0.0013394, 0.0066283
3.29, 3.29 qe_qft_4, 0.0833278, 0.0020899, 0.0080771
3.30, 3.30 qe_qft_5, 0.0887669, 0.0023308, 0.0085962
3.31, 3.31 qft, 0.0753938, 0.0015253, 0.0073357
3.32, 3.32 qpt, 0.0647375, 0.0010398, 0.0063186
3.33, 3.33 rb, 0.0662941, 0.0012256, 0.0064587
3.34, 3.34 teleport, 0.0689821, 0.0014857, 0.0066937
3.35, 3.35 teleportv2, 0.0661422, 0.0012308, 0.0064428
3.36, 3.36 W-state, 0.0790419, 0.0014151, 0.0077155
3.37, 3.37 W3test, 0.0664523, 0.0012324, 0.0064711
3.38, 3.38 Shors Quantum Kernel, 23.0750236, 0.3296142, 2.2744362
