Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
3.0,8,8,8,2,8,8,8,8,2,
3.1,2,2,2,2,2,2,2,2,2,
3.2,2,2,2,2,2,2,2,2,2,
3.3,2,2,2,2,2,2,2,2,2,
3.4,2,2,2,2,2,2,2,2,2,
3.5,0,0,0,0,0,0,0,0,0,
3.6,0,0,0,0,0,0,0,0,0,
3.7,1,1,1,1,1,1,1,1,1,
3.8,0,0,0,0,0,0,0,0,0,
3.9,39,21,21,3,21,21,39,21,21,
3.10,18,18,18,6,18,18,18,18,6,
3.11,28,34,34,4,34,34,28,34,16,
3.12,18,18,18,6,18,18,18,18,6,
3.13,48,54,54,12,54,54,48,54,30,
3.14,80,74,74,20,74,74,80,74,50,
3.15,75,75,75,33,75,75,75,75,33,
3.16,40,52,52,16,52,52,40,52,16,
3.17,174,174,174,36,174,174,174,174,36,
3.18,,,,68,,,,,,
3.19,19,19,19,7,19,19,19,19,7,
3.20,,,,137,,,,,,
3.21,1,1,1,1,1,1,1,1,1,
3.22,6,6,6,6,6,6,6,6,6,
3.23,6,6,6,6,6,6,6,6,6,
3.24,30,30,30,30,30,30,30,30,30,
3.25,2,2,2,2,2,2,2,2,2,
3.26,108,96,96,42,96,96,108,96,66,
3.27,69,57,57,9,57,57,69,57,27,
3.28,22,22,22,10,22,22,22,22,10,
3.29,127,91,91,31,91,91,127,91,67,
3.30,84,114,114,42,114,114,84,114,42,
3.31,48,60,60,18,60,60,48,60,36,
3.32,0,0,0,0,0,0,0,0,0,0
3.33,7,7,7,7,7,7,7,7,7,
3.34,4,4,4,4,4,4,4,4,4,
3.35,4,4,4,4,4,4,4,4,4,
3.36,27,27,27,9,27,27,27,27,9,
3.37,15,15,15,3,15,15,15,15,3,
3.38,,,,14436,,,,,,
