Circuit Id,Generic Linear 5 Qubit Machine,Burlington,Essex,Simulator,London,Ourense,Rome,Vigo,Yorktown,Armonk
3.0,2,2,2,0,2,2,2,2,0,
3.1,0,0,0,0,0,0,0,0,0,
3.2,0,0,0,0,0,0,0,0,0,
3.3,0,0,0,0,0,0,0,0,0,
3.4,0,0,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,0,0,
3.6,0,0,0,0,0,0,0,0,0,
3.7,0,0,0,0,0,0,0,0,0,
3.8,0,0,0,0,0,0,0,0,0,
3.9,12,6,6,0,6,6,12,6,6,
3.10,4,4,4,0,4,4,4,4,0,
3.11,8,10,10,0,10,10,8,10,4,
3.12,4,4,4,0,4,4,4,4,0,
3.13,12,14,14,0,14,14,12,14,6,
3.14,20,18,18,0,18,18,20,18,10,
3.15,14,14,14,0,14,14,14,14,0,
3.16,8,12,12,0,12,12,8,12,0,
3.17,46,46,46,0,46,46,46,46,0,
3.18,,,,0,,,,,,
3.19,4,4,4,0,4,4,4,4,0,
3.20,,,,0,,,,,,
3.21,0,0,0,0,0,0,0,0,0,
3.22,0,0,0,0,0,0,0,0,0,
3.23,0,0,0,0,0,0,0,0,0,
3.24,0,0,0,0,0,0,0,0,0,
3.25,0,0,0,0,0,0,0,0,0,
3.26,22,18,18,0,18,18,22,18,8,
3.27,20,16,16,0,16,16,20,16,6,
3.28,4,4,4,0,4,4,4,4,0,
3.29,32,20,20,0,20,20,32,20,12,
3.30,14,24,24,0,24,24,14,24,0,
3.31,10,14,14,0,14,14,10,14,6,
3.32,0,0,0,0,0,0,0,0,0,0
3.33,0,0,0,0,0,0,0,0,0,
3.34,0,0,0,0,0,0,0,0,0,
3.35,0,0,0,0,0,0,0,0,0,
3.36,6,6,6,0,6,6,6,6,0,
3.37,4,4,4,0,4,4,4,4,0,
3.38,,,,0,,,,,,
