Circuit Id, Qubits, Classical Bits
3.0,300,200
3.1,200,200
3.2,200,200
3.3,200,200
3.4,200,200
3.5,200,100
3.6,200,100
3.7,200,100
3.8,200,100
3.9,400,300
3.10,400,300
3.11,400,400
3.12,300,0
3.13,400,0
3.14,500,0
3.15,300,0
3.16,500,500
3.17,500,300
3.18,1000,500
3.19,500,200
3.20,1800,900
3.21,500,500
3.22,400,400
3.23,400,400
3.24,200,400
3.25,500,500
3.26,500,400
3.27,500,500
3.28,500,500
3.29,500,500
3.30,500,500
3.31,400,400
3.32,100,100
3.33,200,200
3.34,300,300
3.35,300,300
3.36,300,300
3.37,500,500
3.38,1800,800
